Symbol,Buy Time,Buy Price,Sell Time,Sell Price,Profit per Share,ROC (%)
AME,2025-02-28 17:56:00,186.6875,2025-02-28 19:45:00,187.74000549316406,1.0525054931640625,0.5637793066831269
GRX,,,,,,
PTPI,,,,,,
CAPNR,,,,,,
THC,,,,,,
SNSE,,,,,,
OMEX,,,,,,
CBL,,,,,,
USGOW,,,,,,
DAO,2025-02-28 18:23:00,9.045000076293945,2025-02-28 21:00:00,9.0,-0.04500007629394531,-0.49751327710749366
UAA,2025-02-28 18:14:00,6.795000076293945,2025-02-28 21:00:00,6.81,0.014999923706054297,0.22074942660244076
OXSQZ,,,,,,
FAF,2025-02-28 18:00:00,64.73999786376953,2025-02-28 20:21:00,64.96499633789062,0.22499847412109375,0.3475416767769307
FRMEP,,,,,,
YCBD,,,,,,
LDOS,,,,,,
BIDU,2025-02-28 18:08:00,85.75,2025-02-28 21:00:00,86.26,0.5100000000000051,0.5947521865889273
SFIX,2025-02-28 17:57:00,4.644999980926514,2025-02-28 21:00:00,4.73,0.08500001907348675,1.829925068299618
JANX,,,,,,
CAPL,,,,,,
MSA,,,,,,
VREX,,,,,,
COOP,2025-02-28 17:07:00,111.4000015258789,2025-02-28 21:00:00,112.37,0.9699984741210983,0.8707347045195163
MTEKW,,,,,,
MPC,,,,,,
DCOMP,,,,,,
FAASW,,,,,,
MKFG,,,,,,
SSBI,,,,,,
ACLX,2025-02-28 18:12:00,62.6349983215332,2025-02-28 19:47:00,64.38500213623047,1.7500038146972656,2.7939712007554
NAOV,,,,,,
OCEA,,,,,,
LRCX,2025-02-28 18:07:00,76.04000091552734,2025-02-28 21:00:00,76.74,0.6999990844726511,0.9205669069497756
LUMN,,,,,,
GGROW,,,,,,
CWAN,,,,,,
LZM,,,,,,
MPA,,,,,,
EVTV,,,,,,
EME,2025-02-28 18:14:00,401.1400146484375,2025-02-28 21:00:00,408.91,7.769985351562525,1.9369758856822614
HTLD,,,,,,
TPIC,2025-02-28 17:45:00,1.184999942779541,2025-02-28 21:00:00,1.12,-0.06499994277954091,-5.485227503646689
MS^F,,,,,,
EDTK,,,,,,
GLOP^B,,,,,,
LAES,2025-02-28 18:15:00,2.8399999141693115,2025-02-28 18:53:00,2.910099983215332,0.07010006904602051,2.4683123649503522
HAE,,,,,,
DDC,,,,,,
AWX,,,,,,
EXOD,,,,,,
